DATE,VALUE
2002-07-26,6.74857
2002-07-29,6.80124
2002-07-30,6.80548
2002-07-31,6.81522
2002-08-01,6.78520
2002-08-02,6.76185
2002-08-05,6.72695
2002-08-06,6.75643
2002-08-07,6.77624
2002-08-08,6.80844
2002-08-09,6.81195
2002-08-12,6.80661
2002-08-13,6.78469
2002-08-14,6.82396
2002-08-15,6.83545
2002-08-16,6.83386
2002-08-19,6.85722
2002-08-20,6.84314
2002-08-21,6.85579
2002-08-22,6.86974
2002-08-23,6.84679
2002-08-26,6.85430
2002-08-27,6.84035
2002-08-28,6.82206
2002-08-29,6.82198
2002-08-30,6.82009
2002-09-03,6.77767
2002-09-04,6.79503
2002-09-05,6.77896
2002-09-06,6.79562
2002-09-09,6.80568
2002-09-10,6.81298
2002-09-11,6.81284
2002-09-12,6.78774
2002-09-13,6.79101
2002-09-16,6.79246
2002-09-17,6.77253
2002-09-18,6.76787
2002-09-19,6.73735
2002-09-20,6.73980
2002-09-23,6.72587
2002-09-24,6.70844
2002-09-25,6.73300
2002-09-26,6.75104
2002-09-27,6.71825
2002-09-30,6.70353
2002-10-01,6.74277
2002-10-02,6.71890
2002-10-03,6.70802
2002-10-04,6.68534
2002-10-07,6.66604
2002-10-08,6.68280
2002-10-09,6.65513
2002-10-10,6.68950
2002-10-11,6.72781
2002-10-14,6.73511
2002-10-15,6.78136
2002-10-16,6.75696
2002-10-17,6.77901
2002-10-18,6.78490
2002-10-21,6.80208
2002-10-22,6.79140
2002-10-23,6.79810
2002-10-24,6.78276
2002-10-25,6.79978
2002-10-28,6.79148
2002-10-29,6.78236
2002-10-30,6.79202
2002-10-31,6.78645
2002-11-01,6.80346
2002-11-04,6.81163
2002-11-05,6.81935
2002-11-06,6.82845
2002-11-07,6.80533
2002-11-08,6.79653
2002-11-11,6.77558
2002-11-12,6.78327
2002-11-13,6.78279
2002-11-14,6.80713
2002-11-15,6.81326
2002-11-18,6.80279
2002-11-19,6.79877
2002-11-20,6.81799
2002-11-21,6.83922
2002-11-22,6.83578
2002-11-25,6.83828
2002-11-26,6.81708
2002-11-27,6.84468
2002-11-29,6.84195
2002-12-02,6.84004
2002-12-03,6.82519
2002-12-04,6.82173
2002-12-05,6.80965
2002-12-06,6.81589
2002-12-09,6.79347
2002-12-10,6.80733
2002-12-11,6.80789
2002-12-12,6.80416
2002-12-13,6.79064
2002-12-16,6.81388
2002-12-17,6.80571
2002-12-18,6.79248
2002-12-19,6.78474
2002-12-20,6.79766
2002-12-23,6.79948
2002-12-24,6.79399
2002-12-26,6.79084
2002-12-27,6.77468
2002-12-30,6.77923
2002-12-31,6.77972
2003-01-02,6.81238
2003-01-03,6.81189
2003-01-06,6.83412
2003-01-07,6.82755
2003-01-08,6.81337
2003-01-09,6.83258
2003-01-10,6.83257
2003-01-13,6.83115
2003-01-14,6.83697
2003-01-15,6.82244
2003-01-16,6.81849
2003-01-17,6.80437
2003-01-21,6.78854
2003-01-22,6.77806
2003-01-23,6.78823
2003-01-24,6.75856
2003-01-27,6.74227
2003-01-28,6.75523
2003-01-29,6.76199
2003-01-30,6.73887
2003-01-31,6.75192
2003-02-03,6.75730
2003-02-04,6.74312
2003-02-05,6.73767
2003-02-06,6.73120
2003-02-07,6.72105
2003-02-10,6.72859
2003-02-11,6.72046
2003-02-12,6.70769
2003-02-13,6.70609
2003-02-14,6.72730
2003-02-18,6.74661
2003-02-19,6.73949
2003-02-20,6.72994
2003-02-21,6.74308
2003-02-24,6.72453
2003-02-25,6.73170
2003-02-26,6.71847
2003-02-27,6.73016
2003-02-28,6.73477
2003-03-03,6.72720
2003-03-04,6.71173
2003-03-05,6.72124
2003-03-06,6.71186
2003-03-07,6.72009
2003-03-10,6.69392
2003-03-11,6.68552
2003-03-12,6.68984
2003-03-13,6.72371
2003-03-14,6.72536
2003-03-17,6.76017
2003-03-18,6.76440
2003-03-19,6.77310
2003-03-20,6.77499
2003-03-21,6.79771
2003-03-24,6.76184
2003-03-25,6.77393
2003-03-26,6.76844
2003-03-27,6.76679
2003-03-28,6.76099
2003-03-31,6.74309
2003-04-01,6.75516
2003-04-02,6.78094
2003-04-03,6.77588
2003-04-04,6.77861
2003-04-07,6.77984
2003-04-08,6.77798
2003-04-09,6.76387
2003-04-10,6.77031
2003-04-11,6.76654
2003-04-14,6.78585
2003-04-15,6.79213
2003-04-16,6.77982
2003-04-17,6.79524
2003-04-21,6.79348
2003-04-22,6.81495
2003-04-23,6.82331
2003-04-24,6.81501
2003-04-25,6.80107
2003-04-28,6.81875
2003-04-29,6.82202
2003-04-30,6.82102
2003-05-01,6.82034
2003-05-02,6.83527
2003-05-05,6.83147
2003-05-06,6.83989
2003-05-07,6.83478
2003-05-08,6.82467
2003-05-09,6.83884
2003-05-12,6.85130
2003-05-13,6.84832
2003-05-14,6.84511
2003-05-15,6.85295
2003-05-16,6.85044
2003-05-19,6.82521
2003-05-20,6.82408
2003-05-21,6.82808
2003-05-22,6.83719
2003-05-23,6.83864
2003-05-27,6.85802
2003-05-28,6.85985
2003-05-29,6.85608
2003-05-30,6.87067
2003-06-02,6.87420
2003-06-03,6.87890
2003-06-04,6.89390
2003-06-05,6.89785
2003-06-06,6.89544
2003-06-09,6.88339
2003-06-10,6.89248
2003-06-11,6.90523
2003-06-12,6.90626
2003-06-13,6.89630
2003-06-16,6.91844
2003-06-17,6.91935
2003-06-18,6.91779
2003-06-19,6.90244
2003-06-20,6.90344
2003-06-23,6.88922
2003-06-24,6.89107
2003-06-25,6.88277
2003-06-26,6.89347
2003-06-27,6.88369
2003-06-30,6.88192
2003-07-01,6.88992
2003-07-02,6.90149
2003-07-03,6.89335
2003-07-07,6.91217
2003-07-08,6.91556
2003-07-09,6.90996
2003-07-10,6.89639
2003-07-11,6.90589
2003-07-14,6.91161
2003-07-15,6.90818
2003-07-16,6.90174
2003-07-17,6.88932
2003-07-18,6.90105
2003-07-21,6.88633
2003-07-22,6.89579
2003-07-23,6.89630
2003-07-24,6.88918
2003-07-25,6.90643
2003-07-28,6.90427
2003-07-29,6.89698
2003-07-30,6.89517
2003-07-31,6.89802
2003-08-01,6.88771
2003-08-04,6.89043
2003-08-05,6.87260
2003-08-06,6.87428
2003-08-07,6.88153
2003-08-08,6.88509
2003-08-11,6.88815
2003-08-12,6.89806
2003-08-13,6.89166
2003-08-14,6.89822
2003-08-15,6.89838
2003-08-18,6.90750
2003-08-19,6.91010
2003-08-20,6.90806
2003-08-21,6.91102
2003-08-22,6.90079
2003-08-25,6.90145
2003-08-26,6.90448
2003-08-27,6.90454
2003-08-28,6.91059
2003-08-29,6.91573
2003-09-02,6.92951
2003-09-03,6.93369
2003-09-04,6.93534
2003-09-05,6.92892
2003-09-08,6.93891
2003-09-09,6.93066
2003-09-10,6.91862
2003-09-11,6.92404
2003-09-12,6.92621
2003-09-15,6.92246
2003-09-16,6.93665
2003-09-17,6.93339
2003-09-18,6.94657
2003-09-19,6.94341
2003-09-22,6.93032
2003-09-23,6.93637
2003-09-24,6.91709
2003-09-25,6.91102
2003-09-26,6.90460
2003-09-29,6.91431
2003-09-30,6.90372
2003-10-01,6.92581
2003-10-02,6.92779
2003-10-03,6.93717
2003-10-06,6.94153
2003-10-07,6.94625
2003-10-08,6.94098
2003-10-09,6.94575
2003-10-10,6.94511
2003-10-13,6.95211
2003-10-14,6.95605
2003-10-15,6.95345
2003-10-16,6.95661
2003-10-17,6.94632
2003-10-20,6.95147
2003-10-21,6.95276
2003-10-22,6.93766
2003-10-23,6.94097
2003-10-24,6.93626
2003-10-27,6.93841
2003-10-28,6.95348
2003-10-29,6.95474
2003-10-30,6.95363
2003-10-31,6.95722
2003-11-03,6.96510
2003-11-04,6.95964
2003-11-05,6.95827
2003-11-06,6.96418
2003-11-07,6.95960
2003-11-10,6.95379
2003-11-11,6.95327
2003-11-12,6.96466
2003-11-13,6.96452
2003-11-14,6.95688
2003-11-17,6.95046
2003-11-18,6.94134
2003-11-19,6.94932
2003-11-20,6.94085
2003-11-21,6.94243
2003-11-24,6.95852
2003-11-25,6.96024
2003-11-26,6.96456
2003-11-28,6.96432
2003-12-01,6.97553
2003-12-02,6.97225
2003-12-03,6.97048
2003-12-04,6.97515
2003-12-05,6.96744
2003-12-08,6.97476
2003-12-09,6.96619
2003-12-10,6.96513
2003-12-11,6.97654
2003-12-12,6.97928
2003-12-15,6.97358
2003-12-16,6.98020
2003-12-17,6.98145
2003-12-18,6.99318
2003-12-19,6.99271
2003-12-22,6.99663
2003-12-23,6.99944
2003-12-24,6.99763
2003-12-26,6.99932
2003-12-29,7.01165
2003-12-30,7.01179
2003-12-31,7.01384
2004-01-02,7.01074
2004-01-05,7.02306
2004-01-06,7.02436
2004-01-07,7.02672
2004-01-08,7.03167
2004-01-09,7.02274
2004-01-12,7.02752
2004-01-13,7.02217
2004-01-14,7.03043
2004-01-15,7.03179
2004-01-16,7.03863
2004-01-20,7.03770
2004-01-21,7.04545
2004-01-22,7.04223
2004-01-23,7.04014
2004-01-26,7.05218
2004-01-27,7.04233
2004-01-28,7.02863
2004-01-29,7.03360
2004-01-30,7.03097
2004-02-02,7.03462
2004-02-03,7.03530
2004-02-04,7.02689
2004-02-05,7.02872
2004-02-06,7.04120
2004-02-09,7.03862
2004-02-10,7.04363
2004-02-11,7.05424
2004-02-12,7.04935
2004-02-13,7.04387
2004-02-17,7.05358
2004-02-18,7.04910
2004-02-19,7.04496
2004-02-20,7.04238
2004-02-23,7.03965
2004-02-24,7.03798
2004-02-25,7.04200
2004-02-26,7.04308
2004-02-27,7.04311
2004-03-01,7.05269
2004-03-02,7.04673
2004-03-03,7.04842
2004-03-04,7.05175
2004-03-05,7.05347
2004-03-08,7.04509
2004-03-09,7.03929
2004-03-10,7.02455
2004-03-11,7.00921
2004-03-12,7.02159
2004-03-15,7.00714
2004-03-16,7.01275
2004-03-17,7.02443
2004-03-18,7.02315
2004-03-19,7.01192
2004-03-22,6.99887
2004-03-23,6.99755
2004-03-24,6.99515
2004-03-25,7.01139
2004-03-26,7.01037
2004-03-29,7.02329
2004-03-30,7.02731
2004-03-31,7.02661
2004-04-01,7.03189
2004-04-02,7.04037
2004-04-05,7.04801
2004-04-06,7.04592
2004-04-07,7.03925
2004-04-08,7.03819
2004-04-12,7.04333
2004-04-13,7.02948
2004-04-14,7.02835
2004-04-15,7.02895
2004-04-16,7.03404
2004-04-19,7.03511
2004-04-20,7.01943
2004-04-21,7.02473
2004-04-22,7.03872
2004-04-23,7.03931
2004-04-26,7.03485
2004-04-27,7.03712
2004-04-28,7.02323
2004-04-29,7.01561
2004-04-30,7.00968
2004-05-03,7.01884
2004-05-04,7.02068
2004-05-05,7.02245
2004-05-06,7.01570
2004-05-07,7.00188
2004-05-10,6.99129
2004-05-11,6.99892
2004-05-12,7.00059
2004-05-13,6.99982
2004-05-14,6.99915
2004-05-17,6.98851
2004-05-18,6.99530
2004-05-19,6.99272
2004-05-20,6.99319
2004-05-21,6.99719
2004-05-24,6.99888
2004-05-25,7.01486
2004-05-26,7.01656
2004-05-27,7.02223
2004-05-28,7.02169
2004-06-01,7.02215
2004-06-02,7.02553
2004-06-03,7.01808
2004-06-04,7.02331
2004-06-07,7.03915
2004-06-08,7.04069
2004-06-09,7.03115
2004-06-10,7.03568
2004-06-14,7.02580
2004-06-15,7.03175
2004-06-16,7.03312
2004-06-17,7.03179
2004-06-18,7.03441
2004-06-21,7.03024
